the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000306CE6F3FECD52C0F15D10B2A8F84340,0101000020110F00006DBD48750EF15FC11E7839E4C2875241,12647801,2020,2.02012E+11,100,2020-07-20 00:00:00+00,21:43:00,B,M,14,Chest,N,N,N,5000 BLOCK CHESTER AVE,0,-75.21868608,39.94264818,12,0,1,0,39.94264818,-75.21868608
0101000020E6100000306CE6F3FECD52C0F15D10B2A8F84340,0101000020110F00006DBD48750EF15FC11E7839E4C2875241,12647802,2020,2.02012E+11,100,2020-07-20 00:00:00+00,21:43:00,B,M,21,Back,N,N,N,5000 BLOCK CHESTER AVE,0,-75.21868608,39.94264818,12,0,1,1,39.94264818,-75.21868608
0101000020E6100000306CE6F3FECD52C0F15D10B2A8F84340,0101000020110F00006DBD48750EF15FC11E7839E4C2875241,12647803,2015,2.01512E+11,400,2015-07-31 00:00:00+00,19:34:00,B,M,27,Multiple,N,N,N,5000 BLOCK Chester Ave,0,-75.21868608,39.94264818,12,0,1,0,39.94264818,-75.21868608
0101000020E610000003373919E8CA52C0CB5503FFA1FE4340,0101000020110F0000744CD91CCFEB5FC15BDD948E618E5241,12647804,2019,2.01922E+11,400,2019-06-09 00:00:00+00,21:30:00,B,M,23,Back,N,N,N,2200 BLOCK N 23rd St,0,-75.17041617,39.98931873,22,0,1,0,39.98931873,-75.17041617
0101000020E610000003373919E8CA52C0CB5503FFA1FE4340,0101000020110F0000744CD91CCFEB5FC15BDD948E618E5241,12647805,2019,2.01922E+11,100,2019-05-16 00:00:00+00,18:18:00,B,F,42,Multiple,N,N,N,2200 BLOCK N 23RD ST,0,-75.17041617,39.98931873,22,0,1,1,39.98931873,-75.17041617
0101000020E61000002CE353BEAFCE52C0ED44CD80C8FB4340,0101000020110F00009C1747C13AF25FC13163EE09398B5241,12647806,2023,2.02319E+11,400,2023-08-08 00:00:00+00,21:44:00,B,M,17,Head,N,N,N,5400 BLOCK HAVERFORD AVE,0,-75.22947653,39.96705637,19,0,1,0,39.96705637,-75.22947653
0101000020E6100000433B653DCEC952C04EBF1B3D44084440,0101000020110F000009F7E958F0E95FC164100AEB10995241,12647807,2022,2.02214E+11,100,2022-01-18 00:00:00+00,8:48:00,B,M,30,Multiple,N,N,N,2100 BLOCK N 72ND AVE,0,-75.15321288,40.06458248,14,0,1,1,40.06458248,-75.15321288
0101000020E6100000B7AAD31E82C952C0022CD1DD1EFE4340,0101000020110F0000DA27040D6FE95FC1909FE633D08D5241,12647808,2023,2.02326E+11,400,2023-01-15 00:00:00+00,18:06:00,B,M,24,Multiple/Head,N,N,N,2200 BLOCK DELHI ST,0,-75.14856692,39.98531697,26,0,1,0,39.98531697,-75.14856692
0101000020E61000009FD1B1DE03CE52C013F0AD40DBF74340,0101000020110F0000062A79CF16F15FC1D2A36A52DF865241,12647809,2021,2.02112E+11,400,2021-05-09 00:00:00+00,0:30:00,B,M,36,Multiple,N,N,N,54TH AND WOODLAND AVE,0,-75.2189862,39.93637856,12,0,1,0,39.93637856,-75.2189862
0101000020E61000009FD1B1DE03CE52C013F0AD40DBF74340,0101000020110F0000062A79CF16F15FC1D2A36A52DF865241,12647810,2021,2.02112E+11,400,2021-05-09 00:00:00+00,0:30:00,B,F,44,Shoulder,N,N,N,54TH AND WOODLAND AVE,0,-75.2189862,39.93637856,12,0,1,0,39.93637856,-75.2189862
0101000020E6100000B40EFDC9CECB52C0D926158D35FE4340,0101000020110F000042FDB4F656ED5FC1AA0EF758E98D5241,12647811,2015,2.01522E+11,300,2015-02-27 00:00:00+00,5:30:00,B,M,23,Leg,N,N,N,1900 BLOCK N 31st St,0,-75.1844964,39.98600925,22,1,0,0,39.98600925,-75.1844964
0101000020E6100000B40EFDC9CECB52C0D926158D35FE4340,0101000020110F000042FDB4F656ED5FC1AA0EF758E98D5241,12647812,2016,2.01622E+11,300,2016-01-14 00:00:00+00,7:49:00,W,M,20,Leg,N,N,N,1900 BLOCK N 31ST St,0,-75.1844964,39.98600925,22,1,0,0,39.98600925,-75.1844964
0101000020E6100000771E0D8EAFCA52C05E55EEECC8FC4340,0101000020110F00007DE84F116FEB5FC1BC968735558C5241,12647813,2016,2.01622E+11,400,2016-10-17 00:00:00+00,20:07:00,B,M,43,Shoulder,N,N,N,1900 BLOCK Ingersoll St,0,-75.16696502,39.97488176,22,0,1,0,39.97488176,-75.16696502
0101000020E6100000602451BBE1C952C0207AD65ED9024440,0101000020110F0000613ACC7411EA5FC111FD9B570E935241,12647814,2023,2.02335E+11,3400,2023-08-28 00:00:00+00,19:02:00,B,M,25,Leg,N,N,N,4500 BLOCK N BOUVIER ST,0,-75.15440257,40.02225862,35,0,1,0,40.02225862,-75.15440257
0101000020E6100000BEA9401429CB52C03F21540C04054440,0101000020110F000094A41E7D3DEC5FC1F031AD9475955241,12647815,2019,2.01914E+11,400,2019-05-26 00:00:00+00,22:18:00,B,M,24,Multiple,N,N,N,200 BLOCK E RITTENHOUSE ST,0,-75.17438227,40.03918604,14,0,1,0,40.03918604,-75.17438227
0101000020E6100000F0021D940DD152C0C8FCCCEE03FD4340,0101000020110F00005CF2ADD33FF65FC1AE2C369B968C5241,12647816,2018,2.01819E+11,400,2018-10-12 00:00:00+00,23:47:00,B,M,24,Multiple,N,N,N,7500 BLOCK Brookhaven Rd,0,-75.26645377,39.97668252,19,0,1,0,39.97668252,-75.26645377
0101000020E61000007B890C06B2CE52C05CEC30056FF54340,0101000020110F00001E7CC9A03EF25FC1B8CA656A30845241,12647817,2021,2.02112E+11,100,2021-03-18 00:00:00+00,17:06:00,B,M,28,Head,N,N,N,6700 BLOCK GUYER AVE,0,-75.2296157,39.91745057,12,1,0,1,39.91745057,-75.2296157
0101000020E6100000C0300D816BC752C08F5D58ED50FF4340,0101000020110F00008DC884F3E2E55FC1F7CB287A238F5241,12647818,2021,2.02124E+11,100,2021-04-02 00:00:00+00,17:00:00,W,M,33,Head,N,N,N,3000 BLOCK RUTH ST,1,-75.11593653,39.9946572,24,1,0,1,39.9946572,-75.11593653
